id,track_name,artists_name,artist_count,released_year,released_month,released_day
134,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11
135,505,Arctic Monkeys,1,2007,4,20
136,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2
137,Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2
138,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22
139,Perfect,Ed Sheeran,1,2017,1,1
140,Romantic Homicide,d4vd,1,2022,7,20
141,Believer,Imagine Dragons,1,2017,1,31
142,Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19
143,"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1
144,Without Me,Eminem,1,2002,1,1
145,QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,7,13
146,Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24
147,Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6
148,Somewhere Only We Know,Keane,1,2004,1,1
149,Those Eyes,New West,1,2019,5,10
150,El Gordo Trae El Mando,Chino Pacas,1,2023,1,27
151,Mi Bello Angel,Natanael Cano,1,2023,6,30
152,Bye,Peso Pluma,1,2023,5,26
153,Danza Kuduro,"Don Omar, Lucenzo",2,2010,1,1
154,Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2
155,Locked Out Of Heaven,Bruno Mars,1,2012,12,5
156,Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4
157,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,6,17
158,Counting Stars,OneRepublic,1,2013,1,1
159,Ghost,Justin Bieber,1,2021,3,19
160,Under The Influence,Chris Brown,1,2019,10,4
161,PRC,"Natanael Cano, Peso Pluma",2,2023,1,23
162,Gasolina,Daddy Yankee,1,2004,7,13
163,One Dance,"Drake, WizKid, Kyla",3,2016,4,4
164,Enchanted,Taylor Swift,1,2010,1,1
165,Save Your Tears,The Weeknd,1,2020,3,20
166,Sure Thing,Miguel,1,2010,5,25
167,Every Breath You Take - Remastered 2003,The Police,1,1983,1,6
168,The Night We Met,Lord Huron,1,2015,2,2
169,We Found Love,"Rihanna, Calvin Harris",2,2011,1,1
170,When I Was Your Man,Bruno Mars,1,2012,12,5
171,Let Me Down Slowly,Alec Benjamin,1,2018,5,25
172,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2
173,Do I Wanna Know?,Arctic Monkeys,1,2013,1,1
174,Demons,Imagine Dragons,1,2012,1,1
175,ýýýýýýýýýýýý,YOASOBI,1,2023,4,12
176,Reminder,The Weeknd,1,2016,11,25
177,Shake It Off,Taylor Swift,1,2014,1,1
178,Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1
179,SNAP,Rosa Linn,1,2022,3,19
180,Shape of You,Ed Sheeran,1,2017,1,6
181,Night Changes,One Direction,1,2014,11,17
182,Fin de Semana,"Oscar Maydon, Junior H",2,2023,1,13
183,Creep,Radiohead,1,1992,9,21
184,Car's Outside,James Arthur,1,2019,10,18
185,Apocalypse,Cigarettes After Sex,1,2017,3,21
186,Cheques,Shubh,1,2023,5,19
187,Pink + White,Frank Ocean,1,2016,8,20
188,Circles,Post Malone,1,2019,8,30
189,Just The Way You Are,Bruno Mars,1,2010,1,1
190,Take Me To Church,Hozier,1,2013,9,13
191,Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16
192,You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2021,4,9
193,Titi Me Preguntï¿,Bad Bunny,1,2022,5,6
194,Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7
195,Shut up My Moms Calling,Hotel Ugly,1,2020,2,10
196,Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1968,7,1
197,Es un Secreto,Plan B,1,2010,7,20
198,POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8
199,Ditto,NewJeans,1,2022,12,19
200,Take On Me,a-ha,1,1984,10,19
201,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2
202,"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1
203,Acrï¿½ï¿½s,Shakira,1,2023,5,11
204,AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24
205,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15
206,S-Class,Stray Kids,1,2023,6,2
207,Hits Different,Taylor Swift,1,2023,5,26
208,Chanel,"Becky G, Peso Pluma",2,2023,3,30
209,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2
210,Area Codes,"Kaliii, Kaliii",2,2023,3,17
211,Abcdario,"Junior H, Eden Muï¿½ï",2,2023,5,13
212,Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29
213,Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2,2023,6,2
214,FLOWER,JISOO,1,2023,3,31
215,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2
216,Eyes Closed,Ed Sheeran,1,2023,3,23
217,Escapism.,"RAYE, 070 Shake",2,2022,10,12
218,La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30
219,Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26
220,Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2
221,Las Morras,"BLESSD, Peso Pluma",2,2023,4,4
222,CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2
223,Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1
224,Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26
225,Players,Coi Leray,1,2022,11,30
226,Bite Me,ENHYPEN,1,2023,5,22
227,Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26
228,Normal,Feid,1,2022,7,8
229,Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2
230,Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1
231,Bad Habit,Steve Lacy,1,2022,6,29
232,CUFF IT,Beyoncï¿,1,2022,7,29
233,Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5
234,69,"Nicky Jam, Feid",2,2023,5,18
235,Niï¿½ï¿½a Bo,"Sean Paul, Feid",2,2023,4,21
236,Search & Rescue,Drake,1,2023,4,7
237,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,5,19
238,Lavender Haze,Taylor Swift,1,2022,10,21
239,"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2
240,Efecto,Bad Bunny,1,2022,5,6
241,Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27
242,Cupido,Tini,1,2023,2,14
243,Just Wanna Rock,Lil Uzi Vert,1,2022,10,17
244,Unstoppable,Sia,1,2016,1,21
245,Until I Found You,Stephen Sanchez,1,2021,9,1
246,Rich Flex,"Drake, 21 Savage",2,2022,11,4
247,Easy On Me,Adele,1,2021,10,14
248,Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,2023,5,11
249,Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2
250,Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,14
251,The Real Slim Shady,Eminem,1,2000,1,1
252,MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16
253,The Color Violet,Tory Lanez,1,2021,12,10
254,Glimpse of Us,Joji,1,2022,6,10
255,Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4
256,Curtains,Ed Sheeran,1,2023,5,5
257,UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1
258,Haegeum,Agust D,1,2023,4,21
259,Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2,2023,4,30
260,MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24
261,Never Felt So Alone,Labrinth,1,2023,4,7
262,X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2
263,ceilings,Lizzy McAlpine,1,2022,4,8
264,Cupid,Fifty Fifty,1,2023,2,24
265,I AM,IVE,1,2023,4,10
266,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,1,1997,1,1
267,Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4
268,Super,SEVENTEEN,1,2023,4,24
269,Slut Me Out,NLE Choppa,1,2022,4,22
270,Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21
