id,track_name,artists_name,artist_count,released_year,released_month,released_day
823,San Lucas,Kevin Kaarl,1,2019,11,7
824,This Love (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2022,5,6
825,Good Looking,Suki Waterhouse,1,2017,10,20
826,Flowers,Lauren Spencer Smith,1,2021,8,9
827,Yet To Come,BTS,1,2022,6,10
828,Run BTS,BTS,1,2022,6,10
829,Music For a Sushi Restaurant,Harry Styles,1,2022,5,20
830,Matilda,Harry Styles,1,2022,5,20
831,For Youth,BTS,1,2022,6,10
832,Daylight,Harry Styles,1,2022,5,20
833,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,1,2022,5,6
834,Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",4,2022,6,10
835,Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",3,2022,5,27
836,Born Singer,BTS,1,2022,6,10
837,Little Freak,Harry Styles,1,2022,5,20
838,La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",4,2022,5,20
839,True Love,"Kanye West, XXXTENTACION",2,2022,5,27
840,Satellite,Harry Styles,1,2022,5,20
841,Pass The Dutchie,Musical Youth,1,1982,1,1
842,"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2,2022,6,8
843,Love Of My Life,Harry Styles,1,2022,5,20
844,Grapejuice,Harry Styles,1,2022,5,20
845,So Good,Halsey,1,2022,6,9
846,Belly Dancer,"BYOR, Imanbek",2,2022,2,18
847,Keep Driving,Harry Styles,1,2022,5,20
848,Cinema,Harry Styles,1,2022,5,20
849,Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",2,2022,5,25
850,Only Love Can Hurt Like This,Paloma Faith,1,2014,1,1
851,Hold My Hand,Lady Gaga,1,2022,5,3
852,Daydreaming,Harry Styles,1,2022,5,20
853,Numb,"Marshmello, Khalid",2,2022,6,10
854,Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",2,2022,6,2
855,Me and Your Mama,Childish Gambino,1,2016,11,10
856,Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",3,2022,3,18
857,SLOW DANCING IN THE DARK,Joji,1,2018,9,12
858,Antes de Perderte,Duki,1,2022,6,2
859,Boyfriends,Harry Styles,1,2022,5,20
860,295,Sidhu Moose Wala,1,2021,5,15
861,Tak Ingin Usai,Keisya Levronka,1,2022,5,13
862,En El Radio Un Cochinero,Victor Cibrian,1,2022,5,13
863,Master of Puppets (Remastered),Metallica,1,1986,3,3
864,BREAK MY SOUL,Beyoncï¿,1,2022,6,21
865,ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,2022,6,16
866,Massive,Drake,1,2022,6,17
867,Betty (Get Money),Yung Gravy,1,2022,6,10
868,Ojos Marrones,Lasso,1,2022,2,6
869,POP!,Nayeon,1,2022,6,24
870,Layla,"Schï¿½ï¿½rze, DJ R",2,2022,3,24
871,MORE,j-hope,1,2022,7,1
872,Sweet Child O' Mine,Guns N' Roses,1,1987,1,1
873,Last Last,Burna Boy,1,2022,5,12
874,SNAP,Rosa Linn,1,2022,3,19
875,Sticky,Drake,1,2022,6,17
876,Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",3,2022,7,1
877,Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",3,2022,6,3
878,La Loto,"Anitta, Tini, Becky G",3,2022,7,6
879,die first,Nessa Barrett,1,2022,6,24
880,Afraid To Feel,LF System,1,2022,5,2
881,Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,2022,6,10
882,cï¿½ï¿½mo dormi,Rels B,1,2022,8,4
883,Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",3,2022,8,5
884,STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,2022,8,5
885,Caile,Luar La L,1,2020,12,18
886,Si Te La Encuentras Por Ahï¿,Feid,1,2022,8,5
887,GIVENCHY,Duki,1,2022,7,20
888,ALIEN SUPERSTAR,Beyoncï¿,1,2022,7,29
889,Mary On A Cross,Ghost,1,2019,9,13
890,Attention,NewJeans,1,2022,8,1
891,THE SHADE,Rex Orange County,1,2022,3,11
892,"Come Back Home - From ""Purple Hearts""",Sofia Carson,1,2022,7,12
893,El Rescate,"Grupo Marca Registrada, Junior H",2,2022,7,22
894,Heartless,Kanye West,1,2008,1,1
895,"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",4,2022,7,15
896,Siempre Pendientes,"Peso Pluma, Luis R Conriquez",2,2022,8,15
897,JGL,"Luis R Conriquez, La Adictiva",2,2022,2,18
898,Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",3,2022,6,16
899,Pipoco,"Melody, Ana Castela, Dj Chris No Beat",3,2022,5,20
900,Hold Me Closer,"Elton John, Britney Spears",2,2017,11,10
901,Forget Me,Lewis Capaldi,1,2022,9,9
902,After LIKE,IVE,1,2022,8,22
903,Bound 2,Kanye West,1,2013,1,1
904,B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",2,2022,6,15
905,Talk that Talk,TWICE,1,2022,8,26
906,BILLIE EILISH.,Armani White,1,2022,1,20
907,Ferxxo 100,Feid,1,2022,6,3
908,KU LO SA - A COLORS SHOW,Oxlade,1,2022,6,10
909,Prohibidox,Feid,1,2022,9,13
910,Static,Steve Lacy,1,2022,7,15
911,The Scientist,Coldplay,1,2002,8,5
912,Sparks,Coldplay,1,2000,7,10
913,Talk,YEAT,1,2022,9,2
914,XQ Te Pones Asï¿,"Yandel, Feid",2,2022,9,13
915,Selfish,PnB Rock,1,2016,6,23
916,Sin Seï¿½ï,"Ovy On The Drums, Quevedo",2,2022,7,22
917,Lady Mi Amor,Feid,1,2022,9,13
918,Poland,Lil Yachty,1,2022,6,23
919,THE LONELIEST,Mï¿½ï¿½ne,1,2022,10,7
920,Bye Bye,"Marshmello, Juice WRLD",2,2022,10,14
921,BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,2022,8,18
922,Nxde,(G)I-DLE,1,2022,10,17
923,Miss You,Southstar,1,1982,5,16
924,we fell in love in october,girl in red,1,2018,11,21
925,2 Be Loved (Am I Ready),Lizzo,1,2022,7,14
926,Celestial,Ed Sheeran,1,2022,9,29
927,Typa Girl,BLACKPINK,1,2022,9,16
928,I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",2,2020,12,18
929,California Breeze,Lil Baby,1,2022,10,14
930,Bamba (feat. Aitch & BIA),"Luciano, Aitch, Bï¿½",3,2022,9,22
931,Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",3,2022,7,1
932,Major Distribution,"Drake, 21 Savage",2,2022,11,4
933,Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",3,2022,11,4
934,Vigilante Shit,Taylor Swift,1,2022,10,21
935,Question...?,Taylor Swift,1,2022,10,21
936,On BS,"Drake, 21 Savage",2,2022,11,4
937,Mastermind,Taylor Swift,1,2022,10,21
938,Circo Loco,"Drake, 21 Savage",2,2022,11,4
939,Labyrinth,Taylor Swift,1,2022,10,21
940,Spin Bout U,"Drake, 21 Savage",2,2022,11,4
941,Sweet Nothing,Taylor Swift,1,2022,10,21
942,"Would've, Could've, Should've",Taylor Swift,1,2022,10,21
943,Con La Brisa,"Ludwig Goransson, Foudeqush",2,2022,11,4
944,Privileged Rappers,"Drake, 21 Savage",2,2022,11,4
945,The Astronaut,Jin,1,2022,10,28
946,BackOutsideBoyz,Drake,1,2022,11,4
947,Broke Boys,"Drake, 21 Savage",2,2022,11,4
948,The Great War,Taylor Swift,1,2022,10,21
949,My Mind & Me,Selena Gomez,1,2022,11,3
950,Bigger Than The Whole Sky,Taylor Swift,1,2022,10,21
951,A Veces (feat. Feid),"Feid, Paulo Londra",2,2022,11,3
952,En La De Ella,"Feid, Sech, Jhayco",3,2022,10,20
953,Alone,Burna Boy,1,2022,11,4
